#{"t_start": 1658822712.01424, "env_id": "CarRacing-v1"}
r,l,t
-46.856654,192,2969.347982
20.413861,183,2970.839983
-48.515412,203,2972.27315
-54.133333,209,2973.782682
-45.136364,216,2975.384511
34.371756,184,2976.717542
-29.530201,1000,2985.977172
-6.810036,1000,2993.395245
-28.838951,1000,3002.467689
-34.52381,1000,3009.820058
-27.083333,1000,3018.814574
-29.936306,1000,3026.201584
-19.191919,1000,3036.019922
-50.877193,1000,3043.001471
-28.082192,1000,3051.844756
-22.558923,1000,3059.222788
-102.513589,723,3066.051837
-35.064935,1000,3072.930171
-45.871429,174,3074.161962
-49.640288,1000,3083.205159
-28.838951,1000,3089.805315
-21.592933,277,3091.766357
-36.507937,1000,3100.802342
-50.192929,210,3102.373349
-28.07546,202,3103.990644
-54.818519,364,3106.596474
-4.211888,162,3107.80054
3.674912,201,3109.260513
-20.138889,1000,3118.357788
14.474007,192,3119.788549
-0.858364,162,3121.160563
-25.0,1000,3128.75726
-32.475884,1000,3137.661432
-22.11838,1000,3145.66451
-31.818182,1000,3155.285392
-26.826708,232,3156.960283
-53.020134,1000,3166.602193
-26.517572,1000,3173.555876
-27.083333,1000,3183.490831
-30.463576,1000,3190.577943
-17.808219,1000,3198.104491
-66.46045,373,3202.6336
-66.707784,207,3204.09284
34.42623,1000,3211.187322
-44.444444,1000,3220.265484
-32.475884,1000,3227.4525
-6.382979,1000,3235.977608
-23.875433,1000,3243.324266
-15.492958,1000,3252.500246
0.41841,1000,3260.115872
-63.475676,379,3262.912979
-21.641791,1000,3271.38786
-10.624823,242,3273.052601
-16.967509,1000,3279.795299
-19.413919,1000,3288.753188
-24.137931,1000,3295.660048
-27.152318,1000,3304.75527
-30.555556,1000,3311.405102
-17.910448,1000,3319.932784
16.880135,179,3321.232314
-11.155892,190,3322.68726
-18.674699,1000,3332.018129
1.87957,165,3333.170119
-31.271478,1000,3340.171924
-39.297125,1000,3349.19522
-22.580645,1000,3356.30303
-29.765886,1000,3365.127331
-51.170068,261,3367.00772
-22.261484,1000,3373.894331
-24.914676,1000,3382.918689
-39.393939,1000,3390.198894
-27.152318,1000,3398.767516
-20.689655,1000,3405.71962
-50.166113,1000,3414.982936
-27.835052,1000,3421.874146
-37.106918,1000,3430.811696
-18.215613,1000,3437.695168
-22.814591,190,3439.106497
-34.750916,191,3440.652809
-10.11236,1000,3449.6676
-69.475,352,3452.296135
-32.721713,1000,3459.440736
-39.130435,1000,3468.726095
-31.596091,1000,3475.770045
-0.443144,176,3479.159711
-33.554817,1000,3486.399544
-29.765886,1000,3495.501623
-33.333333,1000,3502.720757
-31.271478,1000,3509.757106
-23.076923,1000,3519.791035
